Month,DHI,DNI,GHI,Solar Zenith Angle,Wind Speed,datetime,Angulo,azimuth,tracker_theta,Hour Sine,Hour Cosine
9,191,8,198,36.55,3.3000000000000003,2019-09-25 10:00:00,-5,55.9274093683905,-31.547972913807747,0.49999999999999994,-0.8660254037844387
9,239,13,250,31.18,3.2,2019-09-25 10:30:00,-6,46.50866114183691,-23.6948580032312,0.3826834323650899,-0.9238795325112867
9,252,14,265,26.71,3.1,2019-09-25 11:00:00,-6,34.00731985946442,-15.713713009174995,0.258819045102521,-0.9659258262890682
9,290,17,305,23.68,3.1,2019-09-25 11:30:00,-5,17.82195077039728,-7.640929187818716,0.13052619222005157,-0.9914448613738104
9,253,14,267,22.66,3.2,2019-09-25 12:00:00,-4,358.8544278119836,0.4780662166271568,1.2246467991473532e-16,-1.0
9,201,11,211,23.93,3.3000000000000003,2019-09-25 12:30:00,-4,340.0771465596769,8.593076398833682,-0.13052619222005132,-0.9914448613738105
9,198,10,208,27.15,3.4000000000000004,2019-09-25 13:00:00,-3,324.2951270909151,16.654284379335873,-0.25881904510252035,-0.9659258262890684
9,147,4,150,31.74,3.3000000000000003,2019-09-25 13:30:00,-1,312.1766482598797,24.617330758540128,-0.3826834323650892,-0.923879532511287
9,126,0,126,37.19,3.2,2019-09-25 14:00:00,0,303.04088572423586,32.44739056777413,-0.5000000000000001,-0.8660254037844386
9,112,0,112,43.17,3.3000000000000003,2019-09-25 14:30:00,0,296.0114784511091,40.121657181421554,-0.6087614290087207,-0.7933533402912352
9,15,0,15,49.48,3.4000000000000004,2019-09-25 15:00:00,0,290.4107928091911,47.63009390447793,-0.7071067811865475,-0.7071067811865477
9,101,0,101,56.01,3.5,2019-09-25 15:30:00,0,285.7754840446904,54.97469431376245,-0.7933533402912349,-0.6087614290087209
9,55,0,55,62.68,3.6,2019-09-25 16:00:00,0,281.794455787271,60.0,-0.8660254037844385,-0.5000000000000004
9,20,0,20,69.43,3.7,2019-09-25 16:30:00,0,278.25398744098965,60.0,-0.9238795325112868,-0.3826834323650895
9,50,0,50,76.24,3.7,2019-09-25 17:00:00,0,275.0005260835231,52.92509110912861,-0.9659258262890683,-0.25881904510252063
9,40,3,40,83.05,3.8,2019-09-25 17:30:00,5,271.9166762326223,20.857552995817223,-0.9914448613738104,-0.13052619222005163
9,0,0,0,89.59,3.9,2019-09-25 18:00:00,60,268.9052703732743,1.2965772603214845,-1.0,-1.8369701987210297e-16
9,0,0,0,96.9,3.8,2019-09-25 18:30:00,60,265.87786599343485,0.0,-0.9914448613738104,0.13052619222005213
9,0,0,0,103.74,3.7,2019-09-25 19:00:00,60,262.7451584436743,0.0,-0.9659258262890682,0.25881904510252113
9,0,0,0,110.53,3.5,2019-09-25 19:30:00,60,259.4073623508908,0.0,-0.9238795325112866,0.38268343236509
9,0,0,0,117.24,3.3000000000000003,2019-09-25 20:00:00,60,255.7426661444952,0.0,-0.8660254037844386,0.5000000000000001
9,0,0,0,123.83,3.3000000000000003,2019-09-25 20:30:00,60,251.59147232524896,0.0,-0.7933533402912352,0.6087614290087205
9,0,0,0,130.26,3.1,2019-09-25 21:00:00,60,246.73344700329443,0.0,-0.7071067811865477,0.7071067811865474
9,0,0,0,136.42000000000002,2.9000000000000004,2019-09-25 21:30:00,15,240.8542034484484,0.0,-0.608761429008721,0.7933533402912349
9,0,0,0,142.20000000000002,2.8000000000000003,2019-09-25 22:00:00,15,233.5023988155733,0.0,-0.5000000000000004,0.8660254037844384
