,datetime_utc,tracker_theta
266,2019-01-06 13:00:00+00:00,-30.296290894358407
267,2019-01-06 13:30:00+00:00,-23.50286670745292
268,2019-01-06 14:00:00+00:00,-16.654604979368457
269,2019-01-06 14:30:00+00:00,-9.763238695784313
270,2019-01-06 15:00:00+00:00,-2.8448085656691497
271,2019-01-06 15:30:00+00:00,4.081994019487556
272,2019-01-06 16:00:00+00:00,10.99748061658491
273,2019-01-06 16:30:00+00:00,17.883293376716747
274,2019-01-06 17:00:00+00:00,24.72401782338628
275,2019-01-06 17:30:00+00:00,31.50878250064936
276,2019-01-06 18:00:00+00:00,38.23237455085802
277,2019-01-06 18:30:00+00:00,44.89589017097403
278,2019-01-06 19:00:00+00:00,51.50695256113933
279,2019-01-06 19:30:00+00:00,55.0
280,2019-01-06 20:00:00+00:00,55.0
281,2019-01-06 20:30:00+00:00,48.280374462251025
282,2019-01-06 21:00:00+00:00,24.98822124374987
283,2019-01-06 21:30:00+00:00,10.598657896544651
284,2019-01-06 22:00:00+00:00,0.0
285,2019-01-06 22:30:00+00:00,0.0
286,2019-01-06 23:00:00+00:00,0.0
287,2019-01-06 23:30:00+00:00,0.0
288,2019-01-07 00:00:00+00:00,0.0
289,2019-01-07 00:30:00+00:00,0.0
290,2019-01-07 01:00:00+00:00,0.0
291,2019-01-07 01:30:00+00:00,0.0
292,2019-01-07 02:00:00+00:00,0.0
293,2019-01-07 02:30:00+00:00,0.0
294,2019-01-07 03:00:00+00:00,0.0
295,2019-01-07 03:30:00+00:00,0.0
296,2019-01-07 04:00:00+00:00,0.0
297,2019-01-07 04:30:00+00:00,0.0
298,2019-01-07 05:00:00+00:00,0.0
299,2019-01-07 05:30:00+00:00,0.0
300,2019-01-07 06:00:00+00:00,0.0
301,2019-01-07 06:30:00+00:00,0.0
302,2019-01-07 07:00:00+00:00,0.0
303,2019-01-07 07:30:00+00:00,0.0
304,2019-01-07 08:00:00+00:00,0.0
305,2019-01-07 08:30:00+00:00,-0.522207002668793
306,2019-01-07 09:00:00+00:00,-12.692258559540292
307,2019-01-07 09:30:00+00:00,-27.721315681719453
308,2019-01-07 10:00:00+00:00,-55.0
309,2019-01-07 10:30:00+00:00,-55.0
310,2019-01-07 11:00:00+00:00,-55.0
311,2019-01-07 11:30:00+00:00,-50.45438910195465
312,2019-01-07 12:00:00+00:00,-43.83397724160408
313,2019-01-07 12:30:00+00:00,-37.15870228483573
314,2019-01-07 13:00:00+00:00,-30.421967474853997
315,2019-01-07 13:30:00+00:00,-23.623712703944094
316,2019-01-07 14:00:00+00:00,-16.77013766378888
317,2019-01-07 14:30:00+00:00,-9.872979796801783
318,2019-01-07 15:00:00+00:00,-2.948324700810243
319,2019-01-07 15:30:00+00:00,3.9850505998226997
320,2019-01-07 16:00:00+00:00,10.907341433028034
321,2019-01-07 16:30:00+00:00,17.80004767837733
322,2019-01-07 17:00:00+00:00,24.64760263436547
323,2019-01-07 17:30:00+00:00,31.43898291851948
324,2019-01-07 18:00:00+00:00,38.16883361096155
325,2019-01-07 18:30:00+00:00,44.838124424533206
326,2019-01-07 19:00:00+00:00,51.45436941464854
327,2019-01-07 19:30:00+00:00,55.0
328,2019-01-07 20:00:00+00:00,55.0
329,2019-01-07 20:30:00+00:00,48.528600659803885
330,2019-01-07 21:00:00+00:00,25.087063832192086
331,2019-01-07 21:30:00+00:00,10.672744847510941
332,2019-01-07 22:00:00+00:00,0.0
333,2019-01-07 22:30:00+00:00,0.0
334,2019-01-07 23:00:00+00:00,0.0
335,2019-01-07 23:30:00+00:00,0.0
336,2019-01-08 00:00:00+00:00,0.0
